,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
34,2023,SE,FT,Data Analyst,74400,USD,74400,US,100,US,M
35,2023,SE,FT,Data Analyst,158494,USD,158494,US,100,US,M
36,2023,SE,FT,Data Analyst,88052,USD,88052,US,100,US,M
37,2023,SE,FT,Analytics Engineer,181500,USD,181500,US,0,US,M
38,2023,SE,FT,Analytics Engineer,127000,USD,127000,US,0,US,M
39,2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
40,2023,MI,FT,Machine Learning Engineer,260000,USD,260000,US,0,US,M
41,2023,SE,FT,Data Scientist,258000,USD,258000,US,0,US,M
42,2023,SE,FT,Data Scientist,171000,USD,171000,US,0,US,M
43,2023,EN,FL,Business Intelligence Consultant,500000,GBP,615201,IN,100,IN,S
44,2023,EN,FT,BI Data Analyst,25000,USD,25000,UA,100,NL,M
45,2023,SE,FT,Data Scientist,200000,USD,200000,US,0,US,M
46,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
47,2023,SE,FT,Machine Learning Engineer,225300,USD,225300,US,0,US,M
48,2023,SE,FT,Machine Learning Engineer,197400,USD,197400,US,0,US,M
49,2023,SE,FT,Data Engineer,205500,USD,205500,US,0,US,M
50,2023,SE,FT,Data Engineer,128500,USD,128500,US,0,US,M
51,2023,SE,FT,Data Architect,191600,USD,191600,US,0,US,M
52,2023,SE,FT,Data Architect,125600,USD,125600,US,0,US,M
53,2023,MI,FT,Data Scientist,130410,USD,130410,US,0,US,M
54,2023,MI,FT,Data Scientist,92000,USD,92000,US,0,US,M
55,2023,SE,FT,Data Scientist,183900,USD,183900,US,0,US,M
56,2023,SE,FT,Data Scientist,108800,USD,108800,US,0,US,M
57,2023,SE,FT,Machine Learning Engineer,275000,USD,275000,US,0,US,M
58,2023,SE,FT,Machine Learning Engineer,121200,USD,121200,US,0,US,M
59,2023,MI,FT,Data Scientist,166000,USD,166000,US,0,US,M
60,2023,MI,FT,Data Scientist,73100,USD,73100,US,0,US,M
61,2023,SE,FT,Data Scientist,231250,USD,231250,US,0,US,M
62,2023,SE,FT,Data Scientist,111000,USD,111000,US,0,US,M
63,2023,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
64,2023,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
65,2023,MI,FT,Data Engineer,210500,USD,210500,US,0,US,M
66,2023,MI,FT,Data Engineer,105300,USD,105300,US,0,US,M
67,2023,MI,FT,Data Engineer,158400,USD,158400,US,0,US,M
68,2023,MI,FT,Data Engineer,85800,USD,85800,US,0,US,M
69,2023,SE,FT,Machine Learning Engineer,305600,USD,305600,US,0,US,M
70,2023,SE,FT,Machine Learning Engineer,146600,USD,146600,US,0,US,M
71,2023,SE,FT,Data Analyst,180400,USD,180400,US,0,US,M
72,2023,SE,FT,Data Analyst,138800,USD,138800,US,0,US,M
73,2023,SE,FT,Data Scientist,258700,USD,258700,US,0,US,M
74,2023,SE,FT,Data Scientist,172500,USD,172500,US,0,US,M
75,2023,SE,FT,Data Scientist,156100,USD,156100,CA,0,CA,M
76,2023,SE,FT,Data Scientist,100400,USD,100400,CA,0,CA,M
77,2023,SE,FT,Data Analyst,134200,USD,134200,US,0,US,M
78,2023,SE,FT,Data Analyst,103200,USD,103200,US,0,US,M
79,2023,MI,FT,Data Analyst,105000,USD,105000,US,0,US,M
80,2023,MI,FT,Data Analyst,85000,USD,85000,US,0,US,M
81,2023,SE,FT,Data Scientist,220000,USD,220000,US,0,US,M
82,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
83,2023,SE,FT,Data Analyst,110000,USD,110000,US,100,US,M
84,2023,SE,FT,Data Analyst,95000,USD,95000,US,100,US,M
85,2023,MI,FT,Data Analyst,95400,USD,95400,US,100,US,M
86,2023,MI,FT,Data Analyst,57800,USD,57800,US,100,US,M
87,2023,MI,FT,Data Scientist,110000,USD,110000,US,0,US,M
88,2023,MI,FT,Data Scientist,86000,USD,86000,US,0,US,M
89,2023,EX,FT,Data Analyst,125000,USD,125000,US,0,US,M
90,2023,EX,FT,Data Analyst,87500,USD,87500,US,0,US,M
91,2023,SE,FT,Business Intelligence Engineer,185000,USD,185000,US,0,US,L
92,2023,SE,FT,Business Intelligence Engineer,79600,USD,79600,US,0,US,L
93,2023,SE,FT,Machine Learning Engineer,170000,USD,170000,US,0,US,M
94,2023,SE,FT,Data Engineer,133200,USD,133200,US,100,US,M
95,2023,SE,FT,Data Engineer,84000,USD,84000,US,100,US,M
96,2023,SE,FT,Data Analyst,171000,USD,171000,US,0,US,M
97,2023,SE,FT,Data Analyst,93000,USD,93000,US,0,US,M
98,2023,SE,FT,Analytics Engineer,216450,USD,216450,US,0,US,M
99,2023,SE,FT,Analytics Engineer,123750,USD,123750,US,0,US,M
100,2023,SE,FT,Research Scientist,212800,USD,212800,US,0,US,L
101,2023,SE,FT,Research Scientist,124100,USD,124100,US,0,US,L
102,2023,MI,FT,Data Scientist,205000,USD,205000,US,100,US,M
103,2023,MI,FT,Data Scientist,166000,USD,166000,US,100,US,M
104,2023,SE,FT,Data Scientist,231650,USD,231650,US,0,US,M
105,2023,SE,FT,Data Scientist,189100,USD,189100,US,0,US,M
106,2023,SE,FT,Data Engineer,160000,USD,160000,CA,100,CA,M
107,2023,SE,FT,Data Engineer,120000,USD,120000,CA,100,CA,M
108,2023,SE,FT,Data Engineer,266875,USD,266875,US,0,US,M
109,2023,SE,FT,Data Engineer,128250,USD,128250,US,0,US,M
110,2023,MI,FT,Data Engineer,158600,USD,158600,US,100,US,M
111,2023,MI,FT,Data Engineer,115300,USD,115300,US,100,US,M
112,2023,SE,FT,Data Engineer,225300,USD,225300,US,0,US,M
113,2023,SE,FT,Data Engineer,197400,USD,197400,US,0,US,M
114,2023,EN,FT,Data Analyst,109900,USD,109900,US,0,US,M
115,2023,EN,FT,Data Analyst,61200,USD,61200,US,0,US,M
116,2023,SE,FT,Data Integration Engineer,161000,USD,161000,US,100,US,M
117,2023,SE,FT,Data Integration Engineer,75000,USD,75000,US,100,US,M
118,2023,MI,FT,Data Analyst,166000,USD,166000,US,0,US,M
119,2023,MI,FT,Data Analyst,73100,USD,73100,US,0,US,M
120,2023,MI,FT,Data Scientist,138510,USD,138510,US,0,US,M
121,2023,MI,FT,Data Scientist,95490,USD,95490,US,0,US,M
122,2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M
123,2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M
124,2023,SE,FT,Data Scientist,232200,USD,232200,US,0,US,M
125,2023,SE,FT,Data Scientist,133300,USD,133300,US,0,US,M
126,2023,SE,FT,Machine Learning Engineer,112800,EUR,121788,LT,0,LT,M
127,2023,SE,FT,Machine Learning Engineer,73200,EUR,79032,LT,0,LT,M
128,2023,SE,FT,Analytics Engineer,178250,USD,178250,US,0,US,M
129,2023,SE,FT,Analytics Engineer,110500,USD,110500,US,0,US,M
130,2023,SE,FT,AI Engineer,190000,USD,190000,US,0,US,M
131,2023,SE,FT,AI Engineer,160000,USD,160000,US,0,US,M
132,2023,SE,FT,Applied Scientist,216000,USD,216000,US,100,US,M
133,2023,SE,FT,Applied Scientist,184000,USD,184000,US,100,US,M
134,2023,SE,FT,Data Scientist,166000,USD,166000,CA,100,CA,M
135,2023,SE,FT,Data Scientist,104000,USD,104000,CA,100,CA,M
136,2023,SE,FT,Machine Learning Engineer,230000,USD,230000,US,0,US,M
137,2023,SE,FT,Machine Learning Engineer,196000,USD,196000,US,0,US,M
138,2023,SE,FT,Data Engineer,184000,USD,184000,US,0,US,M
139,2023,SE,FT,Data Engineer,123000,USD,123000,US,0,US,M
140,2023,MI,FT,Business Intelligence Engineer,165600,USD,165600,US,0,US,L
141,2023,MI,FT,Business Intelligence Engineer,65800,USD,65800,US,0,US,L
142,2023,SE,FT,Data Engineer,186000,USD,186000,US,0,US,M
143,2023,SE,FT,Data Engineer,81800,USD,81800,US,0,US,M
144,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
145,2023,SE,FT,Data Analyst,82500,USD,82500,US,0,US,M
146,2023,SE,FT,Data Engineer,247250,USD,247250,US,0,US,M
147,2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
148,2023,SE,FT,Machine Learning Scientist,169000,USD,169000,US,0,US,M
149,2023,SE,FT,Machine Learning Scientist,105500,USD,105500,US,0,US,M
150,2023,SE,FT,Data Scientist,195800,USD,195800,US,0,US,M
151,2023,SE,FT,Data Scientist,161900,USD,161900,US,0,US,M
152,2023,SE,FT,Business Intelligence Engineer,108500,USD,108500,US,100,US,M
153,2023,SE,FT,Business Intelligence Engineer,78800,USD,78800,US,100,US,M
154,2023,SE,FT,Research Scientist,225000,USD,225000,US,0,US,M
155,2023,SE,FT,Research Scientist,166000,USD,166000,US,0,US,M
156,2023,SE,FT,BI Developer,167500,USD,167500,US,0,US,M
157,2023,SE,FT,BI Developer,106500,USD,106500,US,0,US,M
158,2023,MI,FT,Business Intelligence Manager,160000,USD,160000,US,100,US,M
159,2023,MI,FT,Business Intelligence Manager,110000,USD,110000,US,100,US,M
160,2023,SE,FT,Data Analyst,120000,USD,120000,CA,0,CA,M
161,2023,SE,FT,Data Analyst,105000,USD,105000,CA,0,CA,M
162,2023,MI,FT,Data Analyst,87500,USD,87500,US,100,US,M
163,2023,MI,FT,Data Scientist,60000,USD,60000,US,0,US,M
164,2023,MI,FT,Data Scientist,55000,USD,55000,US,0,US,M
165,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
166,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M
167,2023,EX,FT,Data Engineer,135000,USD,135000,US,0,US,M
168,2023,EX,FT,Data Engineer,100000,USD,100000,US,0,US,M
169,2023,MI,FT,Machine Learning Engineer,105000,USD,105000,PT,100,PT,M
170,2023,MI,FT,Machine Learning Engineer,95000,USD,95000,PT,100,PT,M
171,2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M
172,2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,M
173,2023,MI,FT,Data Engineer,167500,USD,167500,US,0,US,M
174,2023,MI,FT,Data Engineer,106500,USD,106500,US,0,US,M
175,2023,SE,FT,Data Scientist,146000,USD,146000,US,0,US,M
176,2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M
177,2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M
178,2023,SE,FT,Data Architect,206000,USD,206000,US,0,US,M
179,2023,SE,FT,Data Architect,134000,USD,134000,US,0,US,M
180,2023,SE,FT,Research Scientist,370000,USD,370000,US,0,US,M
181,2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
182,2023,SE,FT,Analytics Engineer,175000,USD,175000,US,100,US,M
183,2023,SE,FT,Analytics Engineer,160000,USD,160000,US,100,US,M
184,2023,EN,FT,Data Integration Specialist,240000,USD,240000,US,100,US,M
185,2023,EN,FT,Data Integration Specialist,100000,USD,100000,US,100,US,M
186,2023,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
187,2023,SE,FT,Business Intelligence Engineer,143000,USD,143000,CA,0,CA,M
188,2023,SE,FT,Business Intelligence Engineer,127000,USD,127000,CA,0,CA,M
189,2023,MI,FT,Applied Scientist,249300,USD,249300,US,0,US,L
190,2023,MI,FT,Applied Scientist,149300,USD,149300,US,0,US,L
191,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L
192,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L
193,2023,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M
194,2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
195,2023,SE,FT,Research Scientist,248100,USD,248100,US,0,US,M
196,2023,SE,FT,Research Scientist,145900,USD,145900,US,0,US,M
197,2023,SE,FT,Data Science Practitioner,170200,USD,170200,US,0,US,M
198,2023,SE,FT,Data Science Practitioner,83900,USD,83900,US,0,US,M
199,2023,MI,FT,Analytics Engineer,100000,USD,100000,US,0,US,M
200,2023,MI,FT,Analytics Engineer,75000,USD,75000,US,0,US,M
201,2023,SE,FT,Data Scientist,166000,USD,166000,GB,0,GB,M
202,2023,SE,FT,Data Scientist,90000,USD,90000,GB,0,GB,M
203,2023,SE,FT,Data Scientist,94100,USD,94100,US,0,US,M
204,2023,SE,FT,Machine Learning Engineer,226600,USD,226600,US,0,US,M
205,2023,SE,FT,Machine Learning Engineer,140100,USD,140100,US,0,US,M
206,2023,SE,FT,Data Scientist,247600,USD,247600,US,0,US,L
207,2023,SE,FT,Data Scientist,127300,USD,127300,US,0,US,L
208,2023,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L
209,2023,SE,FT,Data Analyst,156000,USD,156000,US,0,US,M
210,2023,SE,FT,Data Analyst,124000,USD,124000,US,0,US,M
211,2023,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M
212,2023,SE,FT,Data Engineer,132600,USD,132600,US,0,US,M
213,2023,SE,FT,Research Engineer,308000,USD,308000,US,0,US,M
214,2023,SE,FT,Research Engineer,190400,USD,190400,US,0,US,M
215,2023,SE,FT,Data Architect,155000,USD,155000,US,0,US,M
216,2023,SE,FT,Data Architect,136000,USD,136000,US,0,US,M
217,2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M
218,2023,SE,FT,Machine Learning Engineer,214500,USD,214500,US,0,US,M
219,2023,SE,FT,Machine Learning Engineer,132600,USD,132600,US,0,US,M
220,2023,MI,FT,Data Analyst,111000,USD,111000,US,0,US,M
221,2023,MI,FT,Data Analyst,104000,USD,104000,US,0,US,M
222,2023,MI,FT,Data Engineer,85000,USD,85000,US,0,US,M
223,2023,MI,FT,Data Engineer,75000,USD,75000,US,0,US,M
224,2023,SE,FT,Data Scientist,180250,USD,180250,US,100,US,M
225,2023,SE,FT,Data Scientist,118000,USD,118000,US,100,US,M
226,2023,SE,FT,Data Scientist,212800,USD,212800,US,0,US,L
227,2023,SE,FT,Data Scientist,111600,USD,111600,US,0,US,L
228,2023,SE,FT,Data Analyst,157500,USD,157500,US,100,US,M
229,2023,SE,FT,Data Analyst,132500,USD,132500,US,100,US,M
230,2023,MI,FT,Data Analyst,75000,USD,75000,US,0,US,M
231,2023,SE,FT,Data Analyst,93918,USD,93918,US,0,US,M
232,2023,SE,FT,Data Analyst,51962,USD,51962,US,0,US,M
233,2023,SE,FT,Business Intelligence Analyst,171000,USD,171000,US,100,US,M
234,2023,SE,FT,Business Intelligence Analyst,152000,USD,152000,US,100,US,M
235,2023,SE,FT,Machine Learning Engineer,223600,USD,223600,US,0,US,L
236,2023,SE,FT,Machine Learning Engineer,115000,USD,115000,US,0,US,L
237,2023,SE,FT,Data Engineer,166000,USD,166000,US,0,US,M
238,2023,SE,FT,Data Engineer,73100,USD,73100,US,0,US,M
239,2023,MI,FT,Business Intelligence Developer,140000,USD,140000,US,100,US,M
240,2023,MI,FT,Business Intelligence Developer,110000,USD,110000,US,100,US,M
241,2023,MI,FT,Data Scientist,130900,USD,130900,US,0,US,M
242,2023,MI,FT,Data Scientist,72700,USD,72700,US,0,US,M
243,2023,SE,FT,Machine Learning Engineer,333500,USD,333500,US,0,US,M
244,2023,SE,FT,Machine Learning Engineer,144000,USD,144000,US,0,US,M
245,2023,SE,FT,Business Intelligence Engineer,180000,USD,180000,US,100,US,M
246,2023,SE,FT,Business Intelligence Engineer,118200,USD,118200,US,100,US,M
247,2023,SE,FT,Data Architect,354200,USD,354200,US,100,US,M
248,2023,SE,FT,Data Architect,221800,USD,221800,US,100,US,M
249,2023,SE,FT,Data Analyst,166000,USD,166000,US,0,US,M
250,2023,SE,FT,Data Analyst,73000,USD,73000,US,0,US,M
251,2023,SE,FT,Data Engineer,156600,USD,156600,US,100,US,M
252,2023,SE,FT,Data Engineer,137200,USD,137200,US,100,US,M
253,2023,MI,FT,Data Analyst,149000,USD,149000,US,0,US,M
254,2023,MI,FT,Data Analyst,65300,USD,65300,US,0,US,M
255,2023,MI,FT,Data Engineer,187000,USD,187000,US,100,US,M
256,2023,MI,FT,Data Engineer,180000,USD,180000,US,100,US,M
257,2023,SE,FT,Data Analyst,119636,USD,119636,US,0,US,M
258,2023,SE,FT,Data Analyst,70374,USD,70374,US,0,US,M
259,2023,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
260,2023,SE,FT,Data Analyst,67000,USD,67000,US,100,US,M
261,2023,SE,FT,Data Analyst,102000,USD,102000,US,100,US,M
262,2023,SE,FT,Data Analyst,94770,USD,94770,US,100,US,M
263,2023,SE,FT,Data Architect,186000,USD,186000,US,0,US,M
264,2023,SE,FT,Data Architect,81800,USD,81800,US,0,US,M
265,2023,EN,FT,Data Scientist,133000,USD,133000,US,0,US,M
266,2023,EN,FT,Data Scientist,58400,USD,58400,US,0,US,M
267,2023,SE,FT,Analytics Engineer,169900,USD,169900,US,100,US,M
268,2023,SE,FT,Analytics Engineer,164100,USD,164100,US,100,US,M
269,2023,SE,FT,Data Scientist,305600,USD,305600,US,0,US,M
270,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M
271,2023,EN,FT,Analytics Engineer,34800,EUR,37573,NL,100,NL,M
272,2022,EN,FT,AI Research Engineer,30000,GBP,36940,GB,100,GB,L
273,2023,SE,FT,Machine Learning Engineer,180240,USD,180240,US,0,US,M
274,2023,SE,FT,Machine Learning Engineer,120160,USD,120160,US,0,US,M
275,2023,MI,FT,Data Scientist,93400,USD,93400,US,0,US,M
276,2023,SE,FT,Data Scientist,119000,USD,119000,US,0,US,M
277,2023,SE,FT,Data Scientist,71400,USD,71400,US,0,US,M
278,2023,MI,FT,Data Analyst,115950,USD,115950,US,0,US,M
279,2023,MI,FT,Data Analyst,69570,USD,69570,US,0,US,M
280,2023,SE,FT,Data Scientist,225100,USD,225100,US,100,US,M
281,2023,SE,FT,Data Scientist,140900,USD,140900,US,100,US,M
282,2023,SE,FT,Data Science Consultant,116000,USD,116000,US,0,US,M
283,2023,SE,FT,Data Science Consultant,90000,USD,90000,US,0,US,M
284,2023,SE,FT,Data Scientist,212000,USD,212000,US,0,US,M
285,2023,SE,FT,Data Scientist,93300,USD,93300,US,0,US,M
286,2023,MI,FT,ML Engineer,179000,USD,179000,US,0,US,M
287,2023,MI,FT,ML Engineer,144000,USD,144000,US,0,US,M
288,2023,EN,FT,Research Scientist,250800,USD,250800,US,0,US,M
289,2023,EN,FT,Research Scientist,167200,USD,167200,US,0,US,M
290,2023,MI,FT,Research Scientist,144000,USD,144000,US,0,US,M
291,2023,MI,FT,Research Scientist,76000,USD,76000,US,0,US,M
292,2023,EX,FT,Data Lead,230000,USD,230000,US,0,US,M
293,2023,EX,FT,Data Lead,180000,USD,180000,US,0,US,M
294,2023,EN,FT,Data Scientist,156450,USD,156450,US,100,US,M
295,2023,EN,FT,Data Scientist,119200,USD,119200,US,100,US,M
296,2023,SE,FT,Research Scientist,150000,USD,150000,US,100,US,M
297,2023,SE,FT,Research Scientist,130000,USD,130000,US,100,US,M
298,2023,EX,FT,Head of Data,247500,USD,247500,US,0,US,M
299,2023,EX,FT,Head of Data,172200,USD,172200,US,0,US,M
300,2023,MI,FT,ML Engineer,155000,USD,155000,US,0,US,M
301,2023,MI,FT,ML Engineer,125000,USD,125000,US,0,US,M
302,2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
303,2023,SE,FT,Data Engineer,97500,USD,97500,US,100,US,M
304,2023,EX,FT,Research Scientist,220000,USD,220000,US,0,US,M
305,2023,EX,FT,Research Scientist,185000,USD,185000,US,0,US,M
306,2023,SE,FT,Data Analyst,100000,USD,100000,US,0,US,M
307,2023,SE,FT,Research Scientist,303050,USD,303050,US,0,US,M
308,2023,SE,FT,Research Scientist,202350,USD,202350,US,0,US,M
309,2023,EN,FT,AI Engineer,20000,EUR,21593,PT,50,PT,L
310,2023,SE,FT,Data Scientist,201650,USD,201650,US,0,US,M
311,2023,SE,FT,Data Scientist,124600,USD,124600,US,0,US,M
312,2023,SE,FT,Business Intelligence Analyst,198200,USD,198200,US,0,US,M
313,2023,SE,FT,Business Intelligence Analyst,110200,USD,110200,US,0,US,M
314,2023,SE,FT,Data Scientist,93400,USD,93400,US,0,US,M
315,2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M
316,2023,SE,FT,Data Analyst,110000,USD,110000,US,0,US,M
317,2023,MI,FT,Business Intelligence Engineer,89500,USD,89500,US,100,US,M
318,2023,MI,FT,Business Intelligence Engineer,65000,USD,65000,US,100,US,M
319,2023,SE,FT,Machine Learning Engineer,328400,USD,328400,US,100,US,M
320,2023,SE,FT,Machine Learning Engineer,205600,USD,205600,US,100,US,M
321,2023,SE,FT,Data Scientist,184800,USD,184800,US,0,US,M
322,2023,EN,FT,Data Engineer,85000,USD,85000,US,100,US,M
323,2023,EN,FT,Data Engineer,61800,USD,61800,US,100,US,M
324,2023,MI,FT,Data Engineer,57500,GBP,70748,GB,0,GB,M
325,2023,MI,FT,Data Engineer,54500,GBP,67056,GB,0,GB,M
326,2023,EN,FT,Data Analyst,116000,USD,116000,US,0,US,M
327,2023,EN,FT,Data Analyst,72500,USD,72500,US,0,US,M
328,2023,SE,FT,Machine Learning Engineer,215000,USD,215000,US,100,US,M
329,2023,SE,FT,Machine Learning Engineer,169850,USD,169850,US,100,US,M
330,2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M
331,2023,SE,FT,Business Intelligence Engineer,180000,USD,180000,US,0,US,M
332,2023,SE,FT,Data Scientist,147400,USD,147400,US,0,US,M
333,2023,SE,FT,Data Scientist,107682,USD,107682,US,0,US,M
334,2023,MI,FT,Data Scientist,225300,USD,225300,US,0,US,M
335,2023,MI,FT,Data Scientist,197400,USD,197400,US,0,US,M
336,2023,SE,FT,Analytics Engineer,160000,USD,160000,US,0,US,M
337,2023,SE,FT,Analytics Engineer,136000,USD,136000,US,0,US,M
338,2023,SE,FT,Machine Learning Engineer,204600,USD,204600,US,0,US,M
339,2023,SE,FT,Machine Learning Engineer,126500,USD,126500,US,0,US,M
340,2023,SE,FT,Data Architect,210000,USD,210000,US,100,US,M
341,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
342,2023,EN,FT,Data Analyst,86500,USD,86500,US,0,US,L
343,2023,EN,FT,Data Analyst,40400,USD,40400,US,0,US,L
344,2023,SE,FT,Data Scientist,329700,USD,329700,US,0,US,M
345,2023,SE,FT,Data Scientist,192351,USD,192351,US,0,US,M
346,2023,SE,FT,Data Engineer,280000,USD,280000,US,0,US,M
347,2023,MI,FT,Business Intelligence Analyst,106700,USD,106700,US,0,US,M
348,2023,MI,FT,Business Intelligence Analyst,97000,USD,97000,US,0,US,M
349,2023,SE,FT,Data Analyst,175000,USD,175000,US,100,US,M
350,2023,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
351,2023,EN,FT,Data Engineer,88000,USD,88000,US,0,US,M
352,2023,EN,FT,Data Engineer,60000,USD,60000,US,0,US,M
353,2023,SE,FT,Data Management Specialist,123000,USD,123000,US,0,US,M
354,2023,SE,FT,Data Management Specialist,93593,USD,93593,US,0,US,M
355,2023,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
356,2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
357,2023,SE,FT,Machine Learning Engineer,222405,USD,222405,US,0,US,M
358,2023,SE,FT,Machine Learning Engineer,172800,USD,172800,US,0,US,M
359,2023,SE,FT,Data Engineer,205600,USD,205600,US,0,US,L
360,2023,SE,FT,Data Engineer,105700,USD,105700,US,0,US,L
361,2023,SE,FT,Machine Learning Engineer,263500,USD,263500,US,100,US,M
362,2023,SE,FT,Machine Learning Engineer,189360,USD,189360,US,100,US,M
363,2023,SE,FT,Machine Learning Engineer,192000,USD,192000,CA,0,CA,M
364,2023,SE,FT,Machine Learning Engineer,124000,USD,124000,CA,0,CA,M
365,2023,SE,FT,AI Developer,230000,USD,230000,US,0,US,M
366,2023,SE,FT,AI Developer,124000,USD,124000,US,0,US,M
367,2023,SE,FT,Data Engineer,148500,USD,148500,CA,0,CA,M
368,2023,SE,FT,Data Engineer,82500,USD,82500,CA,0,CA,M
369,2023,SE,FT,Data Engineer,184800,USD,184800,US,0,US,M
370,2023,SE,FT,Data Engineer,161900,USD,161900,US,0,US,M
371,2023,SE,FT,Data Architect,310000,USD,310000,US,100,US,M
372,2023,SE,FT,Data Architect,206000,USD,206000,US,100,US,M
373,2023,SE,FT,AI Engineer,372000,USD,372000,US,0,US,M
374,2023,SE,FT,AI Engineer,223000,USD,223000,US,0,US,M
375,2023,SE,FT,Data Scientist,140000,GBP,172256,GB,0,GB,M
376,2023,SE,FT,Data Scientist,100000,GBP,123040,GB,0,GB,M
377,2023,MI,FT,Data Analyst,95000,USD,95000,US,100,US,M
378,2023,MI,FT,Data Analyst,80000,USD,80000,US,100,US,M
379,2023,MI,FT,Data Scientist,131000,USD,131000,US,100,US,M
380,2023,MI,FT,Data Scientist,110000,USD,110000,US,100,US,M
381,2023,MI,FT,Data Engineer,148500,USD,148500,CA,0,CA,M
382,2023,MI,FT,Data Engineer,82500,USD,82500,CA,0,CA,M
383,2023,MI,FT,Data Engineer,58400,USD,58400,US,0,US,M
